Rozmiar;FNV1;DJB2;Modulo
1;130;130;250
501;110;120;150
1001;100;100;110
1501;100;100;100
2001;100;90;111
2501;100;130;100
3001;90;100;111
3501;100;140;100
4001;120;110;141
4501;100;100;110
5001;100;100;100
5501;120;120;120
6001;100;100;100
6501;120;120;140
7001;230;100;110
7501;121;120;120
8001;150;130;100
8501;100;100;100
9001;100;100;100
9501;151;101;100
10001;110;120;110
10501;90;90;91
11001;100;101;110
11501;90;101;91
12001;100;100;110
12501;120;110;160
13001;90;100;101
13501;100;90;100
14001;120;121;170
14501;111;120;120
15001;270;121;130
15501;90;90;90
16001;100;100;100
16501;121;120;151
17001;131;130;130
17501;121;110;121
18001;110;121;130
18501;110;120;110
19001;111;230;121
19501;110;110;120
20001;110;111;110
20501;111;121;120
21001;120;110;110
21501;110;110;121
22001;130;220;130
22501;120;120;120
23001;110;111;110
23501;140;130;131
24001;110;110;110
24501;100;100;111
25001;110;120;120
25501;100;100;110
26001;110;110;121
26501;141;140;160
27001;111;111;110
27501;110;110;100
28001;120;110;110
28501;120;110;110
29001;120;130;130
29501;120;110;120
30001;130;141;140
30501;121;121;120
31001;120;111;110
31501;120;121;110
32001;120;140;131
32501;121;120;131
33001;110;381;110
33501;130;130;141
34001;271;290;140
34501;291;230;110
35001;440;131;130
35501;401;220;111
36001;571;531;140
36501;250;111;110
37001;271;120;110
37501;250;221;131
38001;511;131;120
38501;120;120;160
39001;261;230;110
39501;100;280;100
40001;111;110;110
40501;120;451;160
41001;130;240;161
41501;110;261;150
42001;131;110;141
42501;411;221;171
43001;130;371;190
43501;110;150;150
44001;561;411;190
44501;421;281;160
