Rozmiar;FNV1;DJB2;Modulo
1;681;742;380
501;631;421;160
1001;311;681;861
1501;551;752;220
2001;501;881;581
2501;461;501;211
3001;290;431;160
3501;671;611;691
4001;510;671;421
4501;942;642;190
5001;571;591;140
5501;972;541;241
6001;631;531;261
6501;791;531;180
7001;881;671;220
7501;692;491;260
8001;812;1272;301
8501;1282;641;190
9001;2685;401;431
9501;932;2705;481
10001;3737;2454;361
10501;661;1773;331
11001;2235;1443;611
11501;4559;992;411
12001;341;320;471
12501;481;531;300
13001;621;1072;531
13501;631;431;521
14001;712;301;181
14501;1012;280;270
15001;361;681;211
15501;671;602;391
16001;511;842;441
16501;321;451;581
17001;672;331;250
17501;331;622;641
18001;531;1132;471
18501;1252;301;480
19001;631;311;672
19501;632;701;722
20001;350;341;1532
20501;642;691;801
21001;541;681;802
21501;290;741;991
22001;701;341;1994
22501;291;721;18495
23001;491;1643;681
23501;831;1142;1122
24001;922;441;1122
24501;751;481;1493
25001;1222;822;401
25501;902;812;1974
26001;831;481;872
26501;651;3146;641
27001;1433;1182;1032
27501;2154;1313;1032
28001;2235;621;641
28501;681;3406;952
29001;3336;341;721
29501;4038;390;281
30001;842;1152;290
30501;641;380;1142
31001;681;662;742
31501;501;1112;1162
32001;1223;821;361
32501;702;1052;651
33001;490;892;1152
33501;701;911;871
34001;361;140;291
34501;1062;481;1473
35001;401;752;5921
35501;651;841;1743
36001;181;1072;1092
36501;461;1823;1323
37001;1432;511;882
37501;491;411;902
38001;1252;992;951
38501;1393;862;2224
39001;831;401;1763
39501;1172;1182;1002
40001;1082;1052;1764
40501;1893;831;8095
41001;821;2585;1502
41501;1402;4548;1593
42001;1633;5560;4168
42501;4318;1002;3547
43001;2625;9067;1603
43501;351;1072;26129
44001;3567;381;1523
44501;140;821;1162
