Rozmiar;FNV1;DJB2;Modulo
1;841;841;371
501;651;901;331
1001;421;491;190
1501;641;340;200
2001;371;591;201
2501;331;401;190
3001;271;1392;350
3501;251;300;191
4001;411;401;221
4501;381;451;200
5001;370;370;461
5501;411;551;80
6001;511;752;371
6501;401;541;90
7001;511;521;220
7501;381;531;211
8001;401;501;351
8501;501;551;251
9001;551;511;220
9501;370;521;191
10001;571;451;190
10501;370;531;210
11001;350;511;171
11501;341;391;221
12001;250;360;180
12501;391;431;9848
13001;371;401;271
13501;621;411;201
14001;401;731;361
14501;401;411;170
15001;381;450;210
15501;351;381;361
16001;281;320;211
16501;351;381;311
17001;391;391;171
17501;521;380;200
18001;380;431;211
18501;241;351;191
19001;410;371;350
19501;451;541;210
20001;371;491;181
20501;521;371;621
21001;471;391;170
21501;471;521;201
22001;681;390;231
22501;371;420;210
23001;582;371;210
23501;371;421;210
24001;381;401;191
24501;471;531;181
25001;701;391;170
25501;421;401;181
26001;390;460;240
26501;431;461;241
27001;350;391;80
27501;340;421;431
28001;401;381;231
28501;361;370;80
29001;642;410;180
29501;661;380;210
30001;772;421;80
30501;651;381;190
31001;361;371;201
31501;351;391;190
32001;591;390;181
32501;521;421;190
33001;351;360;190
33501;862;421;180
34001;551;751;170
34501;712;360;201
35001;521;371;260
35501;481;461;200
36001;511;471;200
36501;450;551;201
37001;240;421;210
37501;401;551;90
38001;401;421;70
38501;351;401;220
39001;631;421;190
39501;461;391;70
40001;360;391;80
40501;561;371;200
41001;531;741;161
41501;340;591;70
42001;381;1203;170
42501;581;501;81
43001;511;391;100
43501;391;460;90
44001;641;421;91
44501;240;381;80
