Rozmiar;FNV1;DJB2;Modulo
1;200;401;371
501;201;201;331
1001;200;200;190
1501;211;200;200
2001;210;201;201
2501;80;211;190
3001;211;201;350
3501;211;200;191
4001;211;230;221
4501;200;221;200
5001;191;481;461
5501;390;601;80
6001;391;181;371
6501;240;862;90
7001;221;250;220
7501;241;652;211
8001;240;270;351
8501;221;221;251
9001;220;221;220
9501;201;351;191
10001;211;421;190
10501;701;551;210
11001;211;191;171
11501;211;411;221
12001;221;371;180
12501;200;200;9848
13001;200;361;271
13501;221;441;201
14001;320;220;361
14501;250;191;170
15001;330;250;210
15501;351;270;361
16001;220;481;211
16501;601;201;311
17001;501;210;171
17501;210;210;200
18001;441;201;211
18501;300;330;191
19001;361;90;350
19501;481;210;210
20001;191;471;181
20501;321;191;621
21001;200;210;170
21501;190;220;201
22001;191;211;231
22501;221;211;210
23001;240;201;210
23501;200;211;210
24001;200;210;191
24501;200;210;181
25001;231;200;170
25501;230;200;181
26001;210;381;240
26501;240;240;241
27001;230;230;80
27501;90;211;431
28001;221;200;231
28501;191;201;80
29001;190;531;180
29501;180;211;210
30001;190;201;80
30501;191;90;190
31001;211;190;201
31501;200;201;190
32001;350;210;181
32501;351;221;190
33001;381;201;190
33501;220;210;180
34001;220;201;170
34501;250;230;201
35001;230;230;260
35501;211;220;200
36001;220;220;200
36501;231;191;201
37001;231;331;210
37501;230;100;90
38001;360;230;70
38501;230;330;220
39001;230;340;190
39501;221;300;70
40001;210;220;80
40501;230;80;200
41001;311;100;161
41501;340;90;70
42001;571;90;170
42501;801;100;81
43001;210;100;100
43501;80;90;90
44001;90;100;91
44501;90;90;80
