Rozmiar;Chaining;Linear;Cuckoo
1;210;19076;471
1001;120;90;220
2001;120;110;270
3001;110;70;220
4001;130;81;110
5001;131;100;110
6001;110;70;80
7001;110;70;240
8001;121;150;180
9001;121;90;180
10001;111;120;251
11001;141;140;321
12001;140;120;250
13001;111;70;191
14001;120;80;271
15001;100;81;341
16001;120;80;441
17001;130;90;210
18001;120;100;281
19001;100;101;180
20001;110;101;211
21001;110;100;220
22001;140;140;200
23001;111;351;90
24001;100;121;210
25001;141;180;300
26001;110;391;561
27001;110;70;81
28001;120;180;181
29001;130;201;290
30001;140;170;230
31001;121;110;180
32001;120;311;110
33001;110;70;371
34001;111;241;201
35001;110;130;371
36001;130;130;391
37001;120;220;231
38001;110;120;271
39001;110;100;411
40001;131;140;391
41001;120;130;330
42001;121;130;100
43001;130;251;261
44001;211;80;410
45001;110;310;551
46001;120;170;461
47001;120;120;752
48001;110;390;682
49001;110;201;431
50001;110;200;682
51001;130;241;450
52001;120;131;270
53001;110;181;841
54001;110;210;622
55001;140;480;651
56001;110;70;210
57001;100;220;1102
58001;140;571;371
59001;120;251;1.37381e+07
60001;110;481;200
61001;111;110;962
62001;110;351;4809
63001;121;140;7113
64001;110;240;3416
65001;120;100;881
66001;140;120;501
67001;140;250;792
68001;110;90;601
69001;130;151;511
