Rozmiar;Chaining;Linear;Cuckoo
1;761;80;0
501;130;70;0
1001;110;70;0
1501;941;70;0
2001;371;70;0
2501;351;60;0
3001;340;70;0
3501;301;70;0
4001;291;70;0
4501;261;70;0
5001;310;70;0
5501;280;70;0
6001;470;60;0
6501;581;60;0
7001;301;70;0
7501;1142;60;0
8001;1162;60;0
8501;471;60;0
9001;301;70;0
9501;120;60;0
10001;311;70;0
10501;271;60;0
11001;380;60;0
11501;1443;60;0
12001;360;70;0
12501;341;70;0
13001;371;71;0
13501;311;60;0
14001;291;60;0
14501;300;70;0
15001;341;70;0
15501;1303;61;0
16001;271;70;0
16501;320;60;0
17001;321;110;0
17501;281;70;0
18001;130;70;0
18501;300;70;0
19001;461;70;0
19501;291;70;0
20001;331;60;0
20501;300;70;0
21001;120;70;0
21501;511;70;0
22001;170;70;0
22501;120;60;0
23001;331;70;0
23501;291;70;0
24001;270;60;0
24501;120;60;0
25001;110;60;0
25501;271;70;0
26001;321;60;0
26501;361;70;0
27001;280;60;0
27501;301;60;0
28001;321;60;0
28501;120;70;0
29001;281;100;0
29501;110;70;0
30001;321;70;0
30501;311;70;0
31001;300;60;0
31501;321;70;0
32001;290;71;0
32501;130;71;0
33001;290;70;0
33501;330;60;0
34001;321;70;0
34501;320;61;0
35001;140;71;0
35501;110;70;0
36001;140;71;0
36501;310;70;0
37001;121;71;0
37501;380;70;0
38001;431;71;0
38501;310;70;0
39001;110;60;0
39501;270;71;0
40001;301;70;0
40501;281;60;0
41001;310;100;0
41501;311;60;0
42001;300;70;0
42501;261;70;0
43001;300;70;0
43501;310;70;0
44001;591;70;0
44501;120;60;0
