Rozmiar;Chaining;Linear;Cuckoo
1;591;7384;0
501;141;5050;0
1001;130;9989;0
1501;140;14888;0
2001;170;19817;0
2501;150;24737;0
3001;130;19797;0
3501;150;23083;0
4001;170;26280;0
4501;130;29616;0
5001;210;32982;0
5501;140;43582;0
6001;140;40556;0
6501;241;46838;0
7001;401;49292;0
7501;130;52599;0
8001;161;56796;0
8501;241;60403;0
9001;141;72796;0
9501;851;76383;0
10001;170;80752;0
10501;681;84769;0
11001;130;74490;0
11501;1192;89508;0
12001;190;85831;0
12501;1954;88496;0
13001;301;95299;0
13501;982;96060;0
14001;140;100889;0
14501;1022;103965;0
15001;161;117340;0
15501;321;109516;0
16001;311;113453;0
16501;160;121137;0
17001;401;120987;0
17501;191;128681;0
18001;280;146104;0
18501;260;136606;0
19001;190;139161;0
19501;201;139311;0
20001;151;148328;0
20501;210;154710;0
21001;190;166031;0
21501;161;172814;0
22001;200;173475;0
22501;181;174687;0
23001;170;195036;0
23501;170;184416;0
24001;631;186159;0
24501;190;170279;0
25001;320;186690;0
25501;190;182682;0
26001;160;192291;0
26501;762;175439;0
27001;381;180288;0
27501;331;198783;0
28001;160;210614;0
28501;310;221626;0
29001;300;204023;0
29501;281;231364;0
30001;170;221625;0
30501;461;226224;0
31001;280;228378;0
31501;190;235441;0
32001;341;255699;0
32501;311;242875;0
33001;441;312957;0
33501;331;247104;0
34001;170;253345;0
34501;190;259486;0
35001;351;267992;0
35501;441;274124;0
36001;401;290084;0
36501;341;293641;0
37001;360;316723;0
37501;270;305322;0
38001;200;319730;0
38501;160;314359;0
39001;200;316985;0
39501;150;429094;0
40001;210;470562;0
40501;321;493445;0
41001;321;355726;0
41501;310;462587;0
42001;210;358171;0
42501;241;382407;0
43001;200;529513;0
43501;321;453520;0
44001;170;570750;0
44501;300;612609;0
45001;201;517791;0
45501;290;446557;0
46001;200;482755;0
46501;311;481623;0
47001;271;457808;0
47501;270;529813;0
48001;160;455925;0
48501;370;457177;0
49001;1092;508353;0
49501;371;484067;0
50001;301;510867;0
50501;331;470683;0
51001;310;501249;0
51501;170;519714;0
52001;160;474820;0
52501;160;594254;0
53001;170;591670;0
53501;821;698881;0
54001;170;622447;0
54501;281;614762;0
55001;180;622627;0
55501;180;606717;0
56001;190;641001;0
56501;300;734006;0
57001;271;599353;0
57501;370;584336;0
58001;291;567214;0
58501;191;610054;0
59001;321;651993;0
59501;310;585458;0
60001;311;600065;0
60501;271;667100;0
61001;281;817884;0
61501;170;639169;0
62001;200;674846;0
62501;201;547928;0
63001;171;624020;0
63501;201;645690;0
64001;320;626835;0
64501;261;663895;0
65001;210;616165;0
65501;171;632566;4.94066e-324
