Rozmiar;Chaining;Linear;Cuckoo
1;231;190;371
501;120;170;331
1001;101;70;190
1501;241;190;200
2001;100;210;201
2501;100;170;190
3001;221;180;350
3501;230;190;191
4001;251;70;221
4501;231;711;200
5001;100;231;461
5501;260;120;80
6001;211;190;371
6501;130;180;90
7001;370;220;220
7501;140;180;211
8001;141;260;351
8501;110;171;251
9001;240;171;220
9501;130;60;191
10001;240;70;190
10501;211;70;210
11001;231;70;171
11501;260;211;221
12001;180;111;180
12501;171;180;9848
13001;341;200;271
13501;350;71;201
14001;140;70;361
14501;271;311;170
15001;160;80;210
15501;291;71;361
16001;370;80;211
16501;360;60;311
17001;581;180;171
17501;250;60;200
18001;471;180;211
18501;461;251;191
19001;330;91;350
19501;451;70;210
20001;120;60;181
20501;391;70;621
21001;200;71;170
21501;120;170;201
22001;521;101;231
22501;120;70;210
23001;130;70;210
23501;350;190;210
24001;240;390;191
24501;371;220;181
25001;191;261;170
25501;130;60;181
26001;140;211;240
26501;160;80;241
27001;261;261;80
27501;170;130;431
28001;200;90;231
28501;121;351;80
29001;141;211;180
29501;150;391;210
30001;270;220;80
30501;230;230;190
31001;130;250;201
31501;151;211;190
32001;190;140;181
32501;270;60;190
33001;260;181;190
33501;161;471;180
34001;150;80;170
34501;271;200;201
35001;170;100;260
35501;360;150;200
36001;210;80;200
36501;271;271;201
37001;281;251;210
37501;131;90;90
38001;501;181;70
38501;250;190;220
39001;150;341;190
39501;451;371;70
40001;511;220;80
40501;281;130;200
41001;251;150;161
41501;501;110;70
42001;280;221;170
42501;300;111;81
43001;150;180;100
43501;160;90;90
44001;290;210;91
44501;150;90;80
