Rozmiar;Chaining;Linear;Cuckoo
1;131;191;0
501;110;180;0
1001;120;190;0
1501;110;190;0
2001;110;231;0
2501;110;90;0
3001;110;191;0
3501;110;170;0
4001;130;230;0
4501;110;210;0
5001;110;230;0
5501;130;180;0
6001;110;190;0
6501;140;321;0
7001;120;171;0
7501;120;70;0
8001;120;80;0
8501;130;181;0
9001;111;210;0
9501;130;180;0
10001;120;80;0
10501;140;181;0
11001;121;260;0
11501;100;171;0
12001;120;190;0
12501;171;210;0
13001;130;220;0
13501;110;211;0
14001;111;230;0
14501;111;180;0
15001;110;170;0
15501;140;111;0
16001;110;190;0
16501;111;200;0
17001;130;201;0
17501;120;70;0
18001;111;190;0
18501;120;180;0
19001;120;211;0
19501;110;180;0
20001;111;221;0
20501;140;180;0
21001;130;191;0
21501;110;180;0
22001;130;180;0
22501;110;240;0
23001;431;180;0
23501;130;240;0
24001;121;190;0
24501;130;230;0
25001;130;180;0
25501;120;231;0
26001;120;410;0
26501;120;100;0
27001;110;70;0
27501;120;200;0
28001;111;191;0
28501;111;220;0
29001;110;240;0
29501;110;80;0
30001;151;350;0
30501;120;70;0
31001;110;200;0
31501;110;230;0
32001;110;200;0
32501;110;200;0
33001;120;201;0
33501;111;190;0
34001;130;180;0
34501;140;361;0
35001;110;300;0
35501;110;80;0
36001;130;430;0
36501;120;240;0
37001;121;521;0
37501;120;191;0
38001;140;191;0
38501;111;271;0
39001;150;381;0
39501;110;181;0
40001;110;170;0
40501;121;591;0
41001;110;201;0
41501;111;180;0
42001;120;461;0
42501;110;251;0
43001;130;210;0
43501;131;381;0
44001;110;421;0
44501;110;261;0
45001;120;261;0
45501;110;190;0
46001;110;190;0
46501;131;220;0
47001;110;191;0
47501;160;331;0
48001;120;181;0
48501;100;491;0
49001;110;822;0
49501;110;381;0
50001;130;541;0
50501;121;220;0
51001;120;491;0
51501;140;310;0
52001;110;190;0
52501;111;441;0
53001;110;261;0
53501;130;231;0
54001;110;231;0
54501;120;401;0
55001;110;321;0
55501;110;200;0
56001;130;250;0
56501;131;241;0
57001;121;321;0
57501;100;170;0
58001;110;180;0
58501;120;171;0
59001;120;241;0
59501;110;221;0
60001;100;201;0
60501;111;200;0
61001;110;131;0
61501;110;401;0
62001;160;231;0
62501;130;100;0
63001;111;181;0
63501;110;70;0
64001;131;90;0
64501;131;220;0
65001;130;70;0
65501;100;70;0
