Rozmiar;Chaining;Linear;Cuckoo
1;110;0;0
501;110;10160;0
1001;111;19968;0
1501;111;35577;0
2001;110;36699;0
2501;111;38483;0
3001;100;76294;0
3501;110;83096;0
4001;120;76223;0
4501;110;80631;0
5001;110;75382;0
5501;130;78307;0
6001;110;145263;0
6501;130;155773;0
7001;120;160171;0
7501;120;165762;0
8001;120;156254;0
8501;111;163076;0
9001;110;172464;0
9501;120;156924;0
10001;130;154631;0
10501;110;160311;0
11001;110;160642;0
11501;130;296347;0
12001;130;304652;0
12501;130;318528;0
13001;110;317376;0
13501;100;307378;0
14001;130;330982;0
14501;120;325341;0
15001;131;327755;0
15501;130;331372;0
16001;111;338386;0
16501;110;317667;0
17001;140;315993;0
17501;130;305784;0
18001;141;323498;0
18501;130;314831;0
19001;150;321664;0
19501;120;300856;0
20001;110;327295;0
20501;130;313559;0
21001;120;305945;0
21501;130;299503;0
22001;120;328567;0
22501;111;650101;0
23001;120;634402;0
23501;120;677072;0
24001;110;655771;0
24501;130;696649;0
25001;150;668225;0
25501;120;646655;0
26001;100;713441;0
26501;160;718540;0
27001;150;682302;0
27501;160;713761;0
28001;110;686409;0
28501;141;700426;0
29001;131;709833;0
29501;130;745651;0
30001;140;691779;0
30501;110;695176;0
31001;110;673285;0
31501;120;763163;0
32001;130;712398;0
32501;131;704874;0
33001;121;686189;0
33501;130;745300;0
34001;140;734289;0
34501;160;725182;0
35001;130;739169;0
35501;110;726424;0
36001;170;732345;0
36501;120;702029;0
37001;140;669247;0
37501;120;706267;0
38001;140;708281;0
38501;150;668957;0
39001;110;647026;0
39501;160;698192;0
40001;120;687271;0
40501;130;667434;0
41001;130;644231;0
41501;130;672223;0
42001;140;668285;0
42501;140;648238;0
43001;150;664358;0
43501;120;768834;0
44001;151;659028;0
44501;120;656815;0
