Rozmiar;Chaining;Linear;Cuckoo
1;160;0;0
501;2254;10289;0
1001;4338;20208;0
1501;6402;35667;0
2001;8406;37861;0
2501;10470;43983;0
3001;12844;73839;0
3501;14668;75933;0
4001;17052;76324;0
4501;19016;83227;0
5001;21020;79118;0
5501;23444;78308;0
6001;25178;155192;0
6501;27462;168707;0
7001;29546;165231;0
7501;31679;156004;0
8001;37831;154481;0
8501;35998;162696;0
9001;37912;157677;0
9501;39995;156073;0
10001;42590;152678;0
10501;46087;158768;0
11001;46438;159359;0
11501;48872;327857;0
12001;50765;336413;0
12501;52799;342985;0
13001;54793;322718;0
13501;56867;316074;0
14001;58961;337084;0
14501;61275;338838;0
15001;63369;333788;0
15501;65433;308801;0
16001;67638;324701;0
16501;71254;315013;0
17001;72116;394683;0
17501;73709;316416;0
18001;80932;345631;0
18501;78057;392729;0
19001;80561;344348;0
19501;80071;340020;0
20001;84349;366009;0
20501;86392;341252;0
21001;90871;334740;0
21501;92103;314131;0
22001;93436;333989;0
22501;99788;670743;0
23001;101562;669810;0
23501;108103;672535;0
24001;109175;762175;0
24501;118012;697874;0
25001;128532;663518;0
25501;119916;666234;0
26001;125346;650785;0
26501;131868;707782;0
27001;133231;705267;0
27501;136898;731437;0
28001;138961;729402;0
28501;142729;723512;0
29001;146496;695880;0
29501;160032;750012;0
30001;154721;721207;0
30501;158048;677886;0
31001;254118;614176;0
31501;163248;723131;0
32001;169168;693105;0
32501;172625;694026;0
33001;177445;663840;0
33501;178596;721028;0
34001;180921;675361;0
34501;184457;673317;0
35001;198394;680621;0
35501;188806;711960;0
36001;200538;681854;0
36501;223140;687384;0
37001;206609;648731;0
37501;213712;723341;0
38001;218301;686663;0
38501;220435;686352;0
39001;227087;646798;0
39501;222649;714906;0
40001;241184;678858;0
40501;235674;659021;0
41001;249600;599869;0
41501;271782;657799;0
42001;254750;630276;0
42501;288253;623093;0
43001;273585;802401;0
43501;275199;743991;0
44001;306517;733441;0
44501;288583;761494;0
